id,title,author,newspaper,editor,year,month,day,volume,issue,page,image,tags,layout,text
11,Religion and the Inmate,Unknown,Grate-Phil News,,1934,7,3,1,5,2,GratePhilNews-2.jpg,,item,"Religion and the Inmate

Figures tell us that about 25% of the
religious services regularly. That figure
may be a little high for the Hastern
State Penitentiary, but whether 25% is
the correct figure for this or any other
institution is not the point under dis-
cussion. We know that\ the vast majority
of the inmates of our institutions: do not
attend religious services.

A very insignificant: few of our in-
mates deny that they have any 
convictions. Most of them admit belong-
ing to some denomination. Since they
belong to some Church, it would be the
logical thing for them to attend services
held by their Church behind the walls.

The popular excuses in jail for the
man not attending his denominational
service are, that he never attended when
he was free, so why attend now; and
secondly, that only the hypocrite attends
religious services while under confine-
ment. These excuses, if they may be
called such, are the standard ones and
the man who would be a real convict
tries to live down to these standards.
The carelessness for religious service,
the indifference toward the practice of
his religious tenents that marked the
free man, are still dominant in the man
incarcerated, which would tend to show
a lack of moral reform. Had he been
strict in his attendance at Church, had
he observed carefully the spirit and let-
ter of the dogmas of his faith, he would
never have fallen into crime. Religion
precludes crime.

The attendance at Church Services is
a publie attestation that the one pres-
ent believes in God and has presented
himself at the service to join his prayer
with that of his brother. By his very
presence at Church he tells the world
that he acknowledges that he believes
in God and his Creator, his Redeemer
and his Judge.

The man in jail has lost one of the
dearest possessions that he has ... his
liberty. He therefore needs something—
he wants something. It has been his sad
experience that the moment his troubles
overtook him, his so-called friends fled
him like rats from a sinking ship. Hyen
his relatives turned away from him be-
cause he brought the family name into
disrepute.

The agencies of Justice perhaps, were
a little blind when his case was called
to take that life away which He gave.
He will be judged by God because God
told him that He would judge him on
how well he kept His Ten Command-
ments.

The inmate of a penal institution
should logically, therefore, turn to God
since he belongs to God and his human
friends have failed.

Hypocrisy, according to Webster, is
the practice of feigning to be what one
is not.

When a man stays away from the
public service of the religion he profess-
es, he is a hypocrite, because he is feign-
ing that he does not belong to the re-
ligion he professes. He tells the world
that he believes in God and he feigns
not to believe in Him by not keeping
His Commandment, ‘‘Remember thou
shalt keep holy the Sabbath Day.’’"
12,"17,000 Mile Broadcast Heads Byrd Program",Unknown,Grate-Phil News,,1934,7,3,1,5,2,GratePhilNews-2.jpg,,item,"17,000 Mile Broadcast
Heads Byrd Program

A spectacular attempt to link the Arc-
tic and the Antarctic in a two-way
radiophone exchange for the first time
will be made by the Columbia Broad-
casting System early in July.

Preparations to ‘‘bring together’’ the
northern and southern extremities of the
earth have been in progress for many
be worked out. July 11th has been tenta-
tively set as the day for the broadcast
as part of the regular Wednesday night
Byrd Program.

The Antarctic termination for the 17,
000 mile circuit will be station KFZ
Columbia unit at Little America. A tem-
porary Columbia station in north-west-
ern Alaska, above the Arctic Circle, will
be the voice of the far north. Signals
from the CBS-Arctic station will be car-
ried by short-wave to the RCA station
at Point Reyes, near San Francisco, a
distance of nearly four thousand miles; 5
then by the regular CBS transcontinental
facilities to New York, and finally to
the Byrd Expedition over the Rocky
Point, L.I—Little America circuit em-
ployed for the Wednesday broadcasts.

This route will be reversed, with the
additio of another relay point at Buen-
os Aires, to carry the voices of Byrd’s
men to the Land of the Midnight Sun.
Robert Flagler, Seattle broadcast and
telephone engineer, will have charge of
Columbia’s temporary Arctic unit."
13,Exchanges,Unknown,Grate-Phil News,,1934,7,3,1,5,2,GratePhilNews-2.jpg,,item,"Exchanges

Grate-Phil News wishes to acknowledge
receipt of the following institutional
Papers during the past month:

The Messenger State Penitentiary
Sioux Falls, S. D.

The Marquette Inmate State Hourse of
Correction, Marquette, Michigan

The Bulletin California State Prison
San Quentin, Gal.

The Beacon Virginia State Penitentiary
Richmond, Va.

Reformatory Herald Kans. State Indust.
School, Hutchinson, Kansas

The Beacon U. S. Indust. Reformatory
Chillicothe, Ohio

The Pioneer Illinois State Reformatory 
Pontiac, Ill.

The Island Lantern U. S. Penitentiary
McNeil Island, Wash.

The Spectator
Michigan State Prison
Jackson, Mich.

The Summary
Elmira Reformatory
Elmira, N. Y.

The Periscope U. S. N. E. Penitentiary
Lewisburg, Pa.

The Mentor
Massachusetts State Prison
Charlestown, Mass.

The Presidio Iowa State Prison
Fort Madison, Iowa

De-Ho-Co News Detroit House of Correction
Plymouth, Mich.

The New Era U. S. Penitentiary
Leavenworth, Kans.

The Reflector Indiana Reformatory
Pendleton, Ind.

The New Day Ohio State Reformatory
Mansfield, Ohio

London Prison Farmer London Prison Farm
London, Ohio

The Activian Washington State Reform.
Monroe, Wash.

The Agenda Washington State Pen.
Walla Walla, Wash.

The Utah Penwiper Utah State Prison
Salt Lake City, Utah

Vocational News Colo. State Indust. School.
Golden, Colorada

Reformatory Pillar Minnesota State Re-
formatory, St. Cloud, Minn.

The Corrector House of Correction
Chicago, Ill.

The Medium Medium Security Prison
Wallkill, N. Y.

The Big Brother Wisconsin Indust. School
Waukesha, Wis.

Good Words U. S. Penitentiary
Atlanta, Ga.

The Presido Iowa State Prison
Fort Madison, Iowa

The Outlook U. S. Southwestern Re-
formatory, El Reno, Oklahoma

The Question Rhode Island State Peni-
tentiary, Howard, R. I."
14,Jokes,Unknown,Grate-Phil News,,1934,7,3,1,5,2,GratePhilNews-2.jpg,,item,"Judge: You can take your choice,
ten dollars or ten days.

Prisoner (still groggy) : I’ll take the
money, y’r honor.

—

Judge: What do you plead?

Negro: Ah pleads guilty and waives
the hearing.

Judge: What do you mean, waive the
hearing?

Negro: Ah means ah don’t want to
hear any mo’ about it.

—

Judge: You reside—

Witness: With my brother.

Judge: And your brother resides—

Witness: With me.

Judge: Precisely, but you both live—

Witness: Together.

—

Is this the Fidelity Insurance Com-
pany?

Manager: Yes ma’am, what can we
do for you?

I wanna know how much it will cost
to have my husband’s fidelity insured?

—

Jack: What do you think Mary would
like for het birthday?
Betts: Not to be reminded of it, dear.

—

So that’s your new overcoat, Jack!
Isn't it rather loud?

Oh maybe so, but don’t worry, I in
tend to wear a muffler with it.

—

Officer (To inebriate trying to fit key
in lamp post): I don’t think there is
anyone home there tonight.

Inebriate: Mush be, off'sur, there’s a
light upstairsh.

—

Judge: Your name? 
Swede: Jan Oleson.
Judge: Married?
Swede: Ya, I have married.
Judge: Whom did you marry?
Swede: A woman. 
Judge: Fool! Did you ever hear of
anyone who did not marry a woman?
Swede: Ya, my sister. She marry a
man.

—

The mule he has two fect behind,
And two he has before,
We have to stand behind to find
What the two behind be for.

—

“What causes petrified trees???""
“The breeze that makes them rock.

—

Foreign Chauffeur (to deaf farmer) :
can you tell vare I gid some gasoline
py der automobile alretty yet?

Farmer: Hey?

Foreign Chauffeur: No, mine Gott, nod
hay. Dis was a modor car, not a horse.

—

Joe:What is an octopus?
Gracie: Why an eight sided cat, you
dummy !

—

Edith: Do you know I am half in-
clined to kiss you?
Ray: How stupid of me. I thought
you were merely round shouldered.

—

First Husband: When my wife gets
indigestion she doesn’t want to talk for
a week.
Second Husband: What kind of pastry
did you say you buy for her?

—

Customer: I would like to see some
good second hand cars?
Salesman: So would I!

—

First Inmate: When John Bunyan was
in jail it took him all his life to write
one story.
Second Inmate: That’s nothin’. It’ll
take me fifteen years to finish one sen-
tence.

—

Waitress: I have stewed kidneys, boiled
tongue, fried liver and pigs feet...
Customer: Don’t tell me your troubles
Sister, give me a chicken pie.

—

Dumb Hunter: I say, my man, how
do you detect an elephant?

Guide: Ya smell a faint odor of
peanuts on his breath, Sir!"
15,Cryptogram Craze now Sweeping the Country,Unknown,Grate-Phil News,,1934,7,3,1,5,2,GratePhilNews-2.jpg,,item,"Cryptogram Craze now
Sweeping the Country

Two easy ones presented below;
look on last page if you
get stuck

Newspaper editors on the daily papers
are always endeavoring to uncover some
scheme to act as a tonic for their jaded
readers. We have witnessed the ‘‘limer-
ick wave’’, the ‘‘crossword puzzle fad’’,
and now the ‘‘cryptogram craze’’ is
rapidly coming to the fore.

The method of solving the cryptograms
is simple. We readily note on the printed
page the frequent occurance of certain
letters and letter combinations. ‘‘The’’
and ‘‘and’’ are the three letter words
appearing most frequently. The vowels
""e, a, i, and o’’ and the consonants ‘‘t,
s, r, and l’’ are the individual letters
which take precedence over the other let-
ters of the alphabet.

After these key words are inserted
in the cryptogram, others immediately
suggest themselves. When ‘‘e’’ is the
second last letter of a word, ‘‘d’’ or
“r"" immediately suggest themselves un-
til the meaning of the puzzle gradually
unfolds. Anyway, below are a couple of
easy ones. If you get stuck, look on the
back page for the answers.

""SEEING IS BELIEVING""
L F P U U   X H G K L   P V T
L P O Q.   X H   N T   S H V T 
Q T F H V P U O R O K Z   X Y P K
U P V Z T   H K T L,   N T S P I L T
A P V O T X O T L   H C   G Y H-
U T L H F T   V T S V T P X O H K
P V T   U P S J O K Z   O K   F P K E.

""WHEN IN ROME—""
G Y C S H G Y Y G   L O I C G J,
K G T G P K C P N   H T R P   U-
O Q C Y J,   V H J Y R Z J,   O P K
V E C Z O Y G,   F U O Y   Z C N U Y
Q G   I H K G   C P   O E O J X O
C J   V R P J C K G I G K   S H C-
Y G   O E E   I C N U Y   C P   Y-
G D O J."
16,Pete Parsley Says,Unknown,Grate-Phil News,,1934,7,3,1,5,2,GratePhilNews-2.jpg,,item,"Pete Parsley
says:

The missus dont like fer to see the
butcher drive in cause she nose the boss
will sell him sum chickens or cows or
eafs. She nose that he’ll kill em an she
sez it makes her feel offul sad to think
of pore animels bein kilt. But... she
allus likes her stake nice an tender an
a littel rair, and she sez she likes the
dark meet of the chicken best cause its
juciest and she’s offul prode abote her
rabit' pot pie. Humans is funny peepel!

Saw a pixture tother day of thet new
dam there buildin out west. Under the
pixture it said it wuz a dam site... .
Thets wot it lookt like to me, to. The
paper sed thet when the dam wuz dun
it. wood make good land out of a lot
of bum stuff out there. Ought to be a
big help to the farmers. It’ll give em a
lot more groun to curtale perduckshun
on. Humans is funny peepel!

The skinny girl thet works in the
Frosty Hollow store got mad at me last
week. She’s so skinny she has to ware
hevy flanels on windy days to sorta
hold her down. I tole her she wuz the
eweetes girl in the woruld, i guess no-
body never tole her thet befour cauge
she was sirprized and wunted to no
why i thot so. I tole her thet the sweetes
meet wuz allus necks to the bone and
thet she mus be all sweet meet. She got
mad. Aint humans funny peeple?"
17,Life's Contrast,The Prison Mirror,Grate-Phil News,,1934,7,3,1,5,2,GratePhilNews-2.jpg,,item,"Life’s Contrast

There must be competition fair
The waiting public to amuse.
Monotony is hard to bear,
Sometimes the home team has to lose.

There must be night as well as day,
For contrast jazz requires blues,
We cannot be forever gay,
Sometimes the home team has to lose.
—The Prison Mirror"
18,Religious Notes,Unknown,Grate-Phil News,,1934,7,3,1,5,2,GratePhilNews-2.jpg,,item,"Religious Notes

CATHOLIC SERVICES
Rev. Bernard C. Farley

HOUSE
Mass on first, second and third Sundays
at 9 A. M.
Holy Name Mass on Fourth Sunday at
5 A. M.
Confessions on Saturday at 10 A. M.

FARM
Mass on first, second and third Sundays
at 6 A. M.
Holy Name Mass on fourth Sunday at
8 A. M.
Confessions every Sunday before Mass.

LUTHERAN SERVICES
Rev. Frederick Smith

HOUSE
Block Service on third Sunday at 9:15
A. M.

FARM
Services on first, second and fourth Sun-
days at 9 A. M.

EPISCOPALIAN SERVICES
Rev. Alfred M. Smith

HOUSE
Choral Mass every Sunday at 8:15 A. M.
Confessions every Friday at 10:30 A. M.

FARM
Choral Mass on Second Sunday at 8
A. M. and fourth at 6 A. M.
For Confessions consult Bulletin Board
prior to Mass.

PRESBYTERIAN SERVICES
Rev. Vincent J. Steffan

HOUSE
Block Services on first and fifth Sundays
at 9:15 A. M.

FARM
Services on fifth Sunday at 9 A. M.

SALVATION ARMY
Brigadier Frank Croft

HOUSE
Block Service on second and fourth Sun-
days at 9:15 A. M. 

FARM 
Third Sunday of each month at 9 A. M.

JEWISH SERVICES
Rabbi Isaac Feinberg

HOUSE
Services every Saturday at 9:30 A. M.

FARM
Services every Saturday at 9:30 A, M.

CHRISTIAN SCIENCE
Mr. H. L. Nelke

HOUSE
Services every Tuesday afternoon at 2
P. M.

FARM
Services every Sunday at 2:15 P. M."
19,My Creed,Anon,Grate-Phil News,,1934,7,3,1,5,2,GratePhilNews-2.jpg,poetry,item,"My Creed

Oh Lord in Heaven strengthen my will
power
To attend to my own business.
I beseech of Thee wisdom to enable
me to
Be more tolerant of my fellowmen.
To stop looking for faults and to see the
Better nature of those who come in
contact
With my daily life.
Each day, Father, put it in my heart
to do
At least one good deed in behalf of a
Fellowman.
Teach me that there is good in every
living Creature.
Make me realize that more can be gained 
by
A sincere smile, than a superior and
arrogant
Attitude.
Instill in me the desire for wholesome
thoughts
And to ‘‘do unto others, as I would have
others do unto me.’’
To speak well only of others, and to
refrain
From criticizing the indiscretions of my
Fellow-Humans.
And finally at last, Dear Father,
I earnestly Pray of Thee when I am
called to the Judgment Day, I will be
able to look back upon my earthly
Journey, and say that my life has not
been spent in vain. —Anon."
20,"Three Knockouts, Two Draws and Decision on Fight Card",Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,sports,item,"Three Knockouts, Two
Draws and Decision
on Fight Card

Datch Morgan, Rebel Hogan
and Slugger Mc Guire land
K.O.’s on June 16

PRIMO CARNERA LOSES

Three knockouts featured the second
boxing card at the House on June 16.
In the other bouts, two draws and a
decision resulted. While the famed ‘‘Bat-
tle Royal’? again failed to materialize,
the show was warmly received and ac-
tion was never wanting at any time
during the course of the program.

Dutch Morgan, rangy slugger from
12-1 Gallery, stole the show with his
second consecutive knockout, this one
coming at the expense of Dick Pike.
Always on the offensive, Morgan rushed
Pike from the outset, but Pike managed
to weather a wild flurry and slow Dutch
up a bit before the end of the first
round. It was inevitable that the match
would not go the limit from the outset,
and Pike wilted under the two fisted
attack by Morgan in the second round.

Rebel Hogan, a fast punching gum-
chewing workman, gained a technical
K.O. over Phil Cavan in the fourth bout
of the day. Hogan was a smooth worker
and shot his left and right with light-
ning rapidity. Cavan made a go of it
from the start but could not weather the
Rebel’s rush in the third heat. A right
to the head, followed by a cross did the
trick.

The match between Slugger McGuire
and Spike McCann came to a rapid and
unfortunate end in the first minute
when McGuire clipped the latter with a
terrifig right to the head that paralysed
McCann. The latter had no control over
his muscles, whatsoever, and for a mom-
ent it was feared that the injuries might
be permanent. McCann recovered a few
minutes after he was carried to his corn-
er, however.

The match which caught the fancy
of the spectators was the opener between
Primo Carnera (every bit of 103 pounds
net) and dusky Ace Clark. Using the
sixteen ounce gloves, the two paper-
weights wore themselves out in the first
round.

The crowd was in an uproar from the
minute the two battlers entered the ring
until Clark copped the three round de-
cision. However, the two boys put on a
better fight than some of the others
seen thus far. They tried every minute
and Primo hit the canvas several times
after stopping some af the Ace’s none
too gentle wallops. There was no ques-
tion about the decision, Clark knowing
a little too much and punching harder
than Primo.

Joey Freeman and Charley Chase
went three rounds to a draw, while Batt
Donald also went the distance with Bill
Murphy in a dead heat. Freeman had
the edge in the opening round but Char-
ley came back with a nice attack in the
closing cantos to earn a ‘‘good’’ draw.
The other deadlock was spotty in places,
but the boys crowded enough action into
the three heats to make it interesting.

Father Farley and Jimmy, the local
matchmaker, refereed the bouts and held
them ‘in check without any trouble.

Bugs Golden and Godfrey took a bow
between fights. The two boys will battle
it out in the first six round bout of the
year on July 4. It should be a mighty
interesting battle between the two heavy-
weights. At the same time, it was an-
nounced that efforts were being made
to secure Vinee Dundee to referee the
holiday card."
21,All-Star Record,Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,sports,item,"ALL-STAR RECORD

| E.S.P. |                | Opp. |
| 2      | Skippack       | 1    |
| 17     | Roxboro        | 9    |
| 9      | 45th Ward      | 4    |
| 23     | Parkway        | 6    |
| 4      | Quakertown     | 5    |
| 21     | Hampden        | 6    |
| 9      | Marines        | 8    |
| 10     | Penn A.C.      | 8    |
| 2      | Rangers        | 1    |
| 6      | Kennett Square | 8    |
      
           Won 8 — Lost 2      "
22,Aggie-Mayo Bout Tops Opening Fight Card,Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,sports,item,"Aggie-Mayo Bout Tops
Opening Fight Card

Kid Harry and Dutch Morgan tab
K.O.’s, while Bobby Scotten
gets decision

With the crowd in good spirits, thanks
to a pie-eating contest and some pretty
good vocal and orchestra selections, the
opening fight card of the season went
over with a bang on Memorial Day.

Batt Aggie and Frankie Mayo stole
the show with a blistering three round
scrap in the final bout of the card,
while Bobby Scotten, Kid Harry, and
Dutch Morgan were right behind with
nice performances.

Mayo’s defeat was rather a surprise
in as much ag he carried a good out-
side reputation into the ring with him.
Frankie started out hammer and tongs
after Batt, who looked hopelessly out-
classed in the first round. Aggie started
getting the range in the second and a
last minute rush swept Mayo off his
feet and evened the bout. There was no
question about the decision. when Batt
got off a flurry of telling blows in the
third canto.

Kid Harry knocked out Pat York in
another upset after a spectacular battle,
while Dutch Morgan sent Lefty. Kline
to the canvas with a two-fisted storm in
the first minute of the opening round.
Scotten showed plenty as he hammered
out a three round decision over Slug
Yam in the other high-spot.

K.O. Chester and Slug McGuire mixed
plenty of action into the first two rounds,
but tired rapidly in the closing session.
The bout was called a draw. An un-
fortunate ending to the other half of the
double wind-up came in the second round
when Teddy Dix fouled Kid Yellow
after outpointing him all the way."
23,Untitled,Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,quote,item,"“I believe a man is rich, not accord-
ing to what he has, but what he can
do without.’’

“You get out of life exactly what
effort you put in it.’’"
24,Preview of the Battle,Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,cartoon,item,"Our man Major takes a peek into the training quarters of Bugs Golden
and George Godfrey as they get set for the Fourth"
25,"""The Best Outdoor Exhibition I have Ever Seen"" --Mr. Idell",Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,,item,"“The Best Outdoor Exhibition
I Have Ever Seen’’-- Mr. Idell

“It was my privilege to see one of
the finest exhibitions of outdoor play
that I have ever seen.’’ That is the way
A. Provost Idell, known throughout the
country as ‘‘The Father of Volley Ball’’,
commented on the game which the Bio
courtmen lost to North Branch Y.M.C.A.
recently.

“I haye seen better indoor teams per-
form, but the men at this institution
certainly acquitted themselves wonder-
fully in the first three games that day.
I thought the ""Y"" team was going to
lose after those first two reverses.""

Mr. Idell is a member of the Hxecu-
tive Commitise of the United States
Volley Ball. Association and physical
director at th Navy Y.M.C.A, in Phila-
delphia. He tightly deserves the title of
""Father of Volley Ball"", judging from
the short sketh of him in Spaulding's
official volley ball rule book.

The sketch reads, ""He has partici-
pated in more than 10,000 games of
volleyball from 1910 to 1932, and has
been a spectator or referee in 4,000
other games. He had the opportunity of
piloting the Germantown Y.M.C.A from
1912 to 1919, during which time they
never lost a series, winning 750 games
and losing 75, and from 1918 to 1919
made a record of 125 consecutive vic-
tories.""

It was evident to anyone watching
Mr. Idell officiating in the game between
the ‘‘Y"" and the House that he knew
the game backwards and forwards. Fouls
that he called on the boys were never
known to exist, but the book said ae
do, so—!

Mr. Idell came in again on June 21
and gave the boys instructions in the
fine points of the game for an hour and
a half. It was the first time that any of
us ever dreamed that volleyball was
worked out to a mathematical science,
but Mr. Idell has done just that.

After showing the boys the fine points,
they tried them out in two practice
games and a general all around improve-
ment was immediately apparent.

There is only one bad feature about
Mr. Idell’s instructions. It is now gen-
erally conceded that the local sextette
ranks with the best in the State of
Pennsylvania — a record made despite
the handicaps of inexperience, Where
will they get a team to give the boys
called ""fine points"" down to perfection?
Looks like the only thing standing be-
tween the boys and the National Cham-
pionship is the fact that they will. not
bring the Nationals to 2107 Fairmount
Avenue!

Incidently, Mr. Idell asked Mr. Gern-
ey for a picture of the local team for
publication in the National Volleyball
Guide. This is the annual publication of
events in that section of the program
the United States Volley Ball Asgsocia-
tion, and it includes team records, rules
and helpful suggestions to beginners."
26,Mostly Personal,Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,,item,"Mostly Personal

Dear Editor: I received a letter from
my girl the other day and she said that
I reminded her of an almond bar. What
does she mean by that?
Answer: Maybe she means ‘‘sweet and
nutty.""

—

Dear Editor: Where is the capital of
the United States?
Answer: They loaned it all to Europe!

—

Dear Editor: I believe there should be
a law passed that would do away with
alimony. Are you in favor of it?
Answer: Certainly not! A woman must
have some reason for getting married.

—

Dear Editor: I have something very
attractive. I’d like to have you look it
over. Would you be interested?
Answer: Sure! Send me her address.

—

Dear Editor: Do you believe that Na-
tions must continue to build large navies
in order to exist?
Answer: No! Look at the Irish and
the Jews, they own and run the earth
and they haven't even a rowboat be-
tween them.

—

Dear Editor: Every letter I get from
my girl has two X’s at the end of it.
What does she mean?
Answer: She must be double crossing
you."
27,Rangers Drop Close Tussle to All-Stars,Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,sports,item,"Rangers Drop Close
Tussle to All-Stars

F. Rip’s single in seventh enables
Farm to win, 2-1

F. Rip’s single in the seventh inning
enabled the All-Stars to slip through
with a 2-1 victory over the Rangers and
extend their winning streak to four at
Graterford recently. The blow broke up
a neat hurling duel between Johnny and
Antosh, for the visitors.

The Farm nine broke a scoreless tie
in the fifth when J. Rip crossed the
plate, but the Rangers tied it up in the
seventh on hits by Jakeson and Antosh.
That set the stage for the winning up-
rising in the latter half of the same
canto. Meehan pumped a single and F.
Whitey walked to put men on first and
second. Meehan romped home with the
deciding tally on Rip’s one bagger.

Johnny hurled brilliantly for the All-
Stars, fanning eleven batters and per-
mitting only four hits. J. Rip led the
attack for the victors with three hits,
while Meehan, F. Rip, J. Reds and
Johnny each chimed in with two.

ALL-STARS 
|               | r | h  | e |
| Meehan, rf    | 1 | 2  | 0 |
| H. Whitey, lf | 0 | 1  | 1 |
| F. Rip, c     | 0 | 2  | 0 |
| J. Reds, cf   | 0 | 2  | 1 |
| H. Whitey, 3b | 0 | 1  | 0 |
| Lefty, 1b     | 0 | 1  | 0 |
| J. Rip, 2b    | 1 | 3  | 1 |
| Willie, ss    | 0 | 1  | 0 |
| Johnny, p     | 0 | 2  | 0 |
|---------------|---|----|---|
| Totals        | 2 | 15 | 3 |

RANGERS
|             | r | h | e |
| Porter, 1b  | 0 | 0 | 0 |
| Jock, ss    | 0 | 1 | 1 |
| Katz, 3b    | 0 | 1 | 0 |
| Ross, lf    | 0 | 0 | 0 |
| Collins, cf | 0 | 0 | 0 |
| Jakeson, 2b | 1 | 1 | 0 |
| Markle, rf  | 0 | 0 | 0 |
| Walker, c   | 0 | 0 | 0 |
| Antosh, p   | 0 | 1 | 0 |
|-------------|---|---|---|
| Totals      | 1 | 4 | 1 |

|           |   |   |   |   |   |   |   |   |   | R | H  | E |
| Rangers   | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 4  | 1 |
| All-Stars | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |   | 2 | 15 | 3 |"
28,Penn A.C. Volleyball Team Loses to House,Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,sports,item,"Penn A.C. Volleyball Team
Loses to House

Downtown clubmen, led by
Herm Ringler, drop four
straight games

Sweeping through four straight games
without any great trouble, the House
volleyball team made it four straight
triumphs for the season, turning back
the Penn Athletic Club courtmen, 4-0.

The downtown clubmen were reputed
once the local team got into action the
visitors were slowed down to a walk.
Jimmy Winters, Chi Slim, Engle, Blackie,
Irish and Gyp Downey started against
Penn A.C. and romped away with the
opening game, 15-4.

The second game was merely a repe-
tition, the count being 15-4 again, with
both teams standing pat on their lineups.
The Pennacs perked up in their play
when Doc, Babs, and Chester entered
the tilt as substitutes and managed to
garner a dozen points before bowing,
15-12. Herman Ringler led the visitors
with a brilliant individual display, but
the all-around play of the locals was
too much for them.

With the match already clinched, the
House simply toyed with Pennac in the.
last game and galloped to a 15-9 de-
cision.

The victory, in addition to coming at
the expense of one of the best all-
around athletic clubs in Philadelphia,
was also noteworthy in as much.as Big
Slim was unable to see action on account
of his Lumbago.

Big Slim had been the tower of
strength in the House offense, but the
manner in which the Locals romped
away with the first set, alleviated all
fears the boys had over his absence.

Herm Ringler was by far the out-
standing individual on the court. He is
a former Northeast High School athlete, 
where he was captain of the swimming 
team, undefeated in Public High compe-
tition, and Interscholstic low board div-
ing champion for two straight years.
He is still the city's outstanding diving
star."
29,Untitled,Unknown,Grate-Phil News,,1934,7,3,1,5,3,GratePhilNews-3.jpg,,item,"Our Congressional public servants
must be ambidextrous! It would be next
to impossible to spend all the money
they are spending with just one hand."
30,Marines bow to Farm Nine in Ten Innings,Unknown,Grate-Phil News,,1934,7,3,1,5,4,GratePhilNews-4.jpg,,item,"Marines bow to Farm
Nine in Ten Innings

Kelly and Whitey hit timely to
nudge Leathernecks, 9-8

After almost giving the game away in
the ninth and tenth innings, the All-
Stars kept on their winning way with
a three run rally in the latter part of
the tenth that nipped the U. S. Marines,
9-8 in a thrilling battle.

The Farm nine was leading 5-1 going
into the eighth inning, only to have the
Leathernecks shove over a brace of tal-
lies in that frame and come back with
three in the ninth and tie it up after
the Stars had also counted in the
eighth.

The game appeared hopelessly lost
when the Marines notched two more
markers in the tenth on Kilroys double
and three consecutive singles by Gear-
hart, Henry and Tolan.

Smitty singled and Eddie walked with
nobody out in the last half of the tenth
to give the Stars a new lease on life,
out on rollers to Sullivan at third.
Whitey got one of the runs back with
a solid single that chased in Smitty and
after Willey walked to fill the bases,
Kelly drilled one through the infield to
send in Hddie and Whitey with the
tying and winning counters.

Meehan continued his murderous hit-
ting, knocking off four straight bingles,
with Kelly getting two besides that
game winning single in the tenth. Every
member of the All-Star nine had a hand
in the hitmaking, however, with the ex-
eeption.of Frank and See Mack,
who walked.

The Marines were also in a hitting
mood, hammering Ray and Nixon for
fourteen safeties. Tolan, Gather, Sulli-
van, Edwards and Rusnick each had two,
while Shardie, Kilroy, Gearhart and
Henry chipped off one apiece.

| All Stars     | R | H  | E |
| Meehan, 2b    | 2 | 4  | 0 |
| H. Whitey, lf | 2 | 2  | 0 |
| Willey, 3b    | 1 | 1  | 0 |
| Kelly, ss     | 1 | 3  | 0 |
| J. Reds, cf   | 0 | 1  | 0 |
| Frank, 1b     | 0 | 0  | 0 |
| Smitty, rf    | 0 | 1  | 0 |
| Eddie, c      | 0 | 1  | 0 |
| Ray, p        | 1 | 1  | 0 |
| Nixon, p      | 0 | 1  | 0 |
| Butts, x      | 1 | 1  | 0 |
| Mack, xx      | 1 | 0  | 0 |
| Totals        | 9 | 16 | 0 |

| U.S. Marines  | R | H  | E |
| Tolan, ss     | 2 | 2  | 0 |
| Gather, 1b-cf | 2 | 2  | 2 |
| Sullivan, 3b  | 1 | 2  | 1 |
| Scott, p-1b   | 0 |    |   |
| Shardie, c    | 0 |    |   |
| Kilroy, rf    | 1 |    |   |
| Gearhart, 2b  | 1 |    |   |
| Edwards, lf   | 1 | 2  | 0 |
| Taylor, cf-p  | 0 | 0  | 0 |
| Balleny, x    | 0 | 0  | 0 |
| Rusnick, lf   | 0 | 2  | 0 |
| Henry, lf     | 0 | 1  | 0 |
| Totals        | 8 | 14 | 3 |

|           |   |   |   |   |   |   |   |   |   |   | R. | H. | E. |
| Marines   | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 3 | 2 | 8  | 14 | 3  |
| All-Stars | 2 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 3 | 9  | 16 | 0  |"
31,Lady Be Good,Unknown,Grate-Phil News,,1934,7,3,1,5,4,GratePhilNews-4.jpg,,item,"Lady Be Good

Quintuplets born in Canada, quadru-
plets born in United States! Possibly a
challenge from Mother Nature to the
birth control advocates. Or is it a warn-
ing? If we have fewer births, nature
might insist on multiple births."
32,Untitled,Unknown,Grate-Phil News,,1934,7,3,1,5,4,GratePhilNews-4.jpg,,item,"When Indians used to build bridges
over canyons they always sent a crew
of squaws over first to test the strength
of it?"
